artist,genres
21 Savage,"['atl hip hop', 'hip hop', 'rap', 'trap']"
Don Costa,"['easy listening', 'exotica', 'lounge', 'space age pop']"
Jay Sean Featuring Lil Wayne,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']"
Jerry Paper,"['experimental pop', 'indie garage rock', 'neo-psychedelic']"
Lil Skies,"['melodic rap', 'rap', 'trap']"
11 Acorn Lane,"['electro swing', 'nu jazz']"
MC G15,"['funk carioca', 'funk ostentacao', 'funk paulista']"
Stan Getz,"['bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz']"
Tessanne Chin,"['deep talent show', 'lovers rock', 'reggae fusion']"
The Shaking Sensations,"['atmospheric post-rock', 'danish alternative rock', 'instrumental post-rock', 'nordic post-rock']"
Shinedown,"['alternative metal', 'nu metal', 'post-grunge']"
Forever The Sickest Kids,"['electropowerpop', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']"
Ducktails,"['baroque pop', 'chillwave', 'experimental pop', 'indie garage rock', 'new jersey indie']"
Earthen Sea,['experimental ambient']
Usher Featuring Nicki Minaj,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
Red Garland,"['adult standards', 'bebop', 'hard bop', 'jazz', 'jazz piano', 'stride', 'vocal jazz']"
Dollar Signs,"['charlotte nc indie', 'folk punk']"
Delayde,"['chillhop', 'lo-fi beats']"
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors","['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Doomdogs,"['gothenburg metal', 'swedish doom metal']"
The Petulant,['danish metal']
Walker & Royce,"['bass house', 'deep disco house', 'edm', 'electro house', 'house']"
Lopazz,['german techno']
Kristen Bell & Santino Fontana,"['disney', 'hollywood']"
"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj","['chicago rap', 'rap']"
Kim Fowley,"['classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
Andreilien,"['glitch hop', 'psybass']"
Wilco,"['alternative country', 'alternative rock', 'chicago indie', 'indie pop', 'indie rock', 'pop rock', 'roots rock', 'stomp and holler']"
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny","['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Pepe Aguilar,"['latin talent show', 'mariachi', 'ranchera']"
High Tone,"['dub', 'electro dub', 'french dub', 'french reggae']"
The Glands,"['athens indie', 'gbvfi', 'lo-fi']"
Marilyn Scott,['contemporary vocal jazz']
Push,"['belgian dance', 'bubble trance', 'trance']"
Lord Huron,"['indie folk', 'stomp and holler']"
Chris Brown Featuring Tyga & Kevin McCall,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Palomo,"['musica mexicana', 'norteno', 'nueva musica mexicana', 'ranchera', 'tejano', 'tropical']"
Birdman Featuring Drake & Lil Wayne,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Times Of Grace,"['boston metal', 'melodic metalcore', 'metalcore']"
Chet Baker,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'vocal jazz']"
Zac Brown Band Featuring Alan Jackson,"['contemporary country', 'country', 'country road', 'modern country rock']"
Niigata,['atmosphere']
Macklemore & Ryan Lewis Featuring Ray Dalton,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']"
Dr. Dre Featuring Eminem & Skylar Grey,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Myke Forte,['abstract beats']
Zayde Wølf,"['modern alternative rock', 'modern rock', 'rebel blues']"
We Banjo 3,"['irish banjo', 'irish neo-traditional']"
Waka Flocka Flame,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Joe Nichols,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']"
Ìxtahuele,"['exotica', 'lounge']"
Matt Redman,"['ccm', 'christian alternative rock', 'christian music', 'uk worship', 'world worship', 'worship']"
Loud Luxury Featuring Brando,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
SPIRIT DESCENT,"['epic doom', 'neo-trad doom metal']"
Chris Brown Featuring Lil Wayne & Swizz Beatz,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Genetic Control,"['canadian hardcore', 'canadian punk', 'deep hardcore punk']"
Destruction,"['death metal', 'german metal', 'german thrash metal', 'metal', 'mexican metal', 'old school thrash', 'thrash metal']"
Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Boudewijn de Groot,"['dutch pop', 'dutch rock', 'nederpop']"
Xavier Cugat,"['cha-cha-cha', 'cuban rumba', 'easy listening', 'exotica', 'latin jazz', 'lounge', 'mambo']"
Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']"
Far*East Movement Featuring Ryan Tedder,"['asian american hip hop', 'dance pop', 'pop rap']"
Blastromen,"['finnish electro', 'nu electro']"
Rosewood Bape,['boston hip hop']
bo en,['experimental pop']
"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared","['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Bad Meets Evil,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
G-Eazy x Bebe Rexha,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']"
Kendrick Lamar Featuring U2,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
No Bros,['austrian metal']
Cashmere Cat Featuring Ariana Grande,"['dance pop', 'downtempo', 'pop', 'post-teen pop', 'shiver pop']"
Maejor Ali Featuring Juicy J & Justin Bieber,['detroit hip hop']
Swedish House Mafia Featuring John Martin,"['edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']"
Scandinavian Metal Praise,"['christian metal', 'christian power metal', 'christian symphonic metal']"
Ed Sheeran Featuring Chance The Rapper & PnB Rock,"['pop', 'uk pop']"
Lupe Fiasco Featuring MDMA,"['chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'r&b', 'rap', 'trap']"
Post Malone Featuring Nicki Minaj,"['dfw rap', 'melodic rap', 'rap']"
"Layton Greene, Lil Baby, City Girls & PnB Rock","['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Astronoid,"['blackgaze', 'boston metal', 'cosmic black metal', 'sci-fi metal']"
blackbear,"['electropop', 'pop', 'pop rap']"
Kaskade,"['edm', 'electro house', 'house', 'pop dance', 'progressive house', 'tropical house', 'vocal house']"
John Coltrane,"['bebop', 'free jazz', 'jazz', 'jazz saxophone']"
KC & The Sunshine Band,"['disco', 'funk', 'quiet storm', 'soft rock', 'soul']"
Cat's Eyes,['chamber psych']
Dream Koala,['indie dream pop']
Shining,['avant-garde metal']
Ty Dolla $ign Featuring E-40,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
Justin Timberlake Featuring Chris Stapleton,"['dance pop', 'pop']"
Khalid & Kane Brown,"['pop', 'pop r&b']"
Muse,"['modern rock', 'permanent wave', 'rock']"
Carrie Underwood Featuring Ludacris,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'post-teen pop']"
Kings Of Tomorrow,"['classic house', 'deep house', 'disco house', 'garage house', 'soulful house', 'vocal house']"
Los Cadetes De Linares,"['corridos clasicos', 'musica mexicana', 'norteno']"
Wang Wen,"['chinese indie', 'chinese indie rock', 'chinese post-rock', 'instrumental post-rock', 'post-rock']"
Nicole Scherzinger Featuring 50 Cent,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'urban contemporary']"
The Seldom Scene,"['appalachian folk', 'banjo', 'bluegrass', 'bluegrass gospel', 'mandolin', 'old-time', 'progressive bluegrass']"
Kraddy,['glitch hop']
King Heavy,['epic doom']
Rank 1,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance']"
Iggy Pop,"['classic rock', 'glam rock', 'new wave', 'permanent wave', 'post-punk', 'protopunk', 'punk', 'rock']"
Ozuna x Cardi B,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
Wiz Khalifa,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Sam Hunt,"['contemporary country', 'country pop']"
Justin Bieber + BloodPop,"['canadian pop', 'pop']"
Duke Ellington,"['adult standards', 'african-american classical', 'big band', 'harlem renaissance', 'jazz', 'jazz piano', 'swing', 'vocal jazz']"
Taylor Swift Featuring The Civil Wars,['pop']
Urban Blight,"['canadian hardcore', 'slash punk']"
